output_path,source_scene,source_scene_classification,status,reason
data/analysis/rayong/shorelines/2025-03-26_mndwi_fixed.geojson,S2C_MSIL2A_20250326T033601_R061_T47PPQ_20250326T085914,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-04-17_mndwi_otsu.geojson,S2A_MSIL2A_20190417T033541_R061_T47PPQ_20201007T030428,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2023-04-21_ndwi_otsu.geojson,S2B_MSIL2A_20230421T033539_R061_T47PPQ_20230421T214437,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2021-01-01.geojson,S2B_MSIL2A_20210101T034139_R061_T47PPQ_20210101T215221,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-03-23_mndwi_fixed.geojson,S2B_MSIL2A_20190323T033719_R061_T47PPQ_20201007T094741,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-02-21_ndwi_fixed.geojson,S2B_MSIL2A_20190221T033749_R061_T47PPQ_20201007T191151,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2021-01-01_ndwi_fixed.geojson,S2B_MSIL2A_20210101T034139_R061_T47PPQ_20210101T215221,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2026-04-12_mndwi_fixed.geojson,S2A_MSIL2A_20260412T034201_R061_T47PPQ_20260412T083214,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2024-04-20_ndwi_otsu.geojson,S2A_MSIL2A_20240420T033541_R061_T47PPQ_20240420T101520,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2018-02-06.geojson,S2B_47PPQ_20180206_0_L2A,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2026-04-05_ndwi_otsu.geojson,S2B_MSIL2A_20260405T033539_R061_T47PPQ_20260405T072236,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-03-23.geojson,S2B_MSIL2A_20190323T033719_R061_T47PPQ_20201007T094741,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2024-01-01_mndwi_otsu.geojson,S2A_MSIL2A_20240101T034141_R061_T47PPQ_20240101T071808,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2019-04-17.geojson,S2A_MSIL2A_20190417T033541_R061_T47PPQ_20201007T030428,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
data/analysis/rayong/shorelines/2023-01-16_mndwi_fixed.geojson,S2A_MSIL2A_20230116T034101_R061_T47PPQ_20230116T130750,SAMUT_SONGKHRAM,INVALID_WRONG_AOI,Derived from SAMUT_SONGKHRAM scene
